Rank,Name,World,Credits,Victories
211,Moochi Donut,Malboro [Crystal],297,50
212,Kanae Meow,Ultros [Primal],296,105
212,Lynn Ryleth,Faerie [Aether],296,105
214,Sice Seven,Cactuar [Aether],296,8
215,Zephyr Tempest,Behemoth [Primal],296,5
216,Senka Kyo,Adamantoise [Aether],295,48
217,Majin Buubs,Goblin [Crystal],295,27
218,No Ino,Excalibur [Primal],294,60
219,Tatiana Metanova,Ultros [Primal],207,80
220,Horan Lou,Brynhildr [Crystal],205,77
221,I'm Die,Gilgamesh [Aether],205,37
222,Chile Mango,Midgardsormr [Aether],204,64
223,Di'vergi O'vidi,Gilgamesh [Aether],203,115
224,Fall Back,Halicarnassus [Dynamis],203,87
225,Sabe Kryze,Coeurl [Crystal],202,109
226,Shiri Grey,Cactuar [Aether],202,97
227,Dragoon Scythe,Behemoth [Primal],201,76
228,Hattori Hanzo,Kraken [Dynamis],201,44
229,Pvp Wintrader,Rafflesia [Dynamis],201,38
230,Oerba Fang,Sargatanas [Aether],201,26
231,Satoshi Itaori,Golem [Dynamis],201,24
232,So What,Ultros [Primal],201,20
233,Cj Deux,Lamia [Primal],200,158
234,Ebil Minalinsky,Cactuar [Aether],200,60
235,Denmo Mcstronghuge,Excalibur [Primal],200,36
236,Omaewa'mou Shindeiru,Jenova [Aether],200,32
237,Mii Ku,Halicarnassus [Dynamis],200,15
238,Magilou Shirayuki,Adamantoise [Aether],199,76
239,Yao Hon,Brynhildr [Crystal],199,47
240,Sitri Belladonna,Maduin [Dynamis],199,43
241,Namira Vermis,Coeurl [Crystal],199,39
242,Deep-fried Shrimp,Halicarnassus [Dynamis],199,36
243,Lux Mas,Sargatanas [Aether],199,31
244,What's Poppin',Sargatanas [Aether],199,28
245,Scraticus Lepus,Excalibur [Primal],199,24
246,Aibertain Mando,Jenova [Aether],198,231
247,Xen Babyque,Hyperion [Primal],198,38
248,Naomi Hakoma,Halicarnassus [Dynamis],198,6
249,Larxis Themage,Mateus [Crystal],196,167
250,Somnidemn Serdorm,Goblin [Crystal],196,51
