Rank,Name,World,Credits,Victories
182,Teka Etoile,Durandal [Gaia],1478,100
183,Flame Lieutenant,Carbuncle [Elemental],1468,181
184,Elegiac Undertaker,Masamune [Mana],1434,108
185,Shion Amber,Unicorn [Meteor],1420,52
186,Aqex Legends,Asura [Mana],1410,61
187,Aina The-end,Tiamat [Gaia],1409,119
188,Lux Astrum,Unicorn [Meteor],1408,93
189,Sui Greentea,Mandragora [Meteor],1407,140
190,Akatuki Re,Carbuncle [Elemental],1404,188
191,Moca Lune,Mandragora [Meteor],1404,46
192,Hakuen Sinonome,Asura [Mana],1403,97
193,Khelby Trickster,Gungnir [Elemental],1402,39
194,Ui Thrix,Chocobo [Mana],1400,139
195,Buronko San,Fenrir [Gaia],1399,129
196,Deisia Touna,Mandragora [Meteor],1399,75
197,Yi Xiangfeng,Titan [Mana],1398,112
198,On' Off,Asura [Mana],1398,57
199,Erik Bural,Hades [Mana],1396,207
200,Cavalry Cha,Hades [Mana],1396,71
